Line,Section,Block Number,Block Length (m),Block Grade (%),Speed Limit (Km/Hr),Infrastructure,Station Side,ELEVATION (M),CUMALTIVE ELEVATION (M),,
Red,H,32,50,0,70,SWITCH ( 32 33 ) or ( 32 72 );UNDERGROUND,,0.00,-1.24,,Bidirectional
Red,H,33,50,0,70,SWITCH ( 32 33 );UNDERGROUND,,0.00,-1.24,,Bidirectional
Red,H,34,50,0,70,UNDERGROUND,,0.00,-1.24,,Bidirectional
Red,H,35,50,0,70,STATION STEELPLAZA;UNDERGROUND,Left/Right,0.00,-1.24,,Bidirectional
Red,H,36,50,0,70,UNDERGROUND,,0.00,-1.24,,Bidirectional
Red,H,37,50,0,70,UNDERGROUND,,0.00,-1.24,,Bidirectional
Red,H,38,50,0,70,SWITCH ( 38 39 ) or ( 38 71 );UNDERGROUND,,0.00,-1.24,,Bidirectional
Red,H,39,50,0,70,SWITCH ( 38 39 );UNDERGROUND,,0.00,-1.24,,Bidirectional
Red,H,40,60,0,70,UNDERGROUND,,0.00,-1.24,,Bidirectional
Red,H,41,60,0,70,UNDERGROUND,,0.00,-1.24,,Bidirectional
Red,H,42,50,0,70,UNDERGROUND,,0.00,-1.24,,Bidirectional
Red,H,43,50,0,70,SWITCH ( 43 44 ) or ( 43 67 );UNDERGROUND,,0.00,-1.24,,Bidirectional
Red,H,44,50,0,70,SWITCH ( 43 44 );UNDERGROUND,,0.00,-1.24,,Bidirectional
Red,H,45,50,0,70,STATION FIRSTAVE;UNDERGROUND,Left/Right,0.00,-1.24,,Bidirectional
Red,I,46,75,0,70,UNDERGROUND,,0.00,-1.24,,Bidirectional
Red,I,47,75,0,70,RAILWAY CROSSING,,0.00,-1.24,,Bidirectional
Red,I,48,75,0,70,STATION STATIONSQUARE,Left/Right,0.00,-1.24,,Bidirectional
Red,J,49,50,0,60,,,0.00,-1.24,,Bidirectional
Red,J,50,50,0,60,,,0.00,-1.24,,Bidirectional
Red,J,51,50,0,55,,,0.00,-1.24,,Bidirectional
Red,J,52,43,0,55,SWITCH ( 52 53 ) or ( 52 66 ),,0.00,-1.24,,Bidirectional
Red,J,53,50,0,55,SWITCH ( 52 53 ),,0.00,-1.24,,Bidirectional
Red,J,54,50,0,55,,,0.00,-1.24,,Bidirectional
Red,K,55,75,0.5,55,,,0.38,-0.87,,Bidirectional
Red,K,56,75,0.5,55,,,0.38,-0.49,,Bidirectional
Red,K,57,75,0.5,55,,,0.38,-0.12,,Bidirectional
Red,L,58,75,1,55,,,0.75,0.63,,Bidirectional
Red,L,59,75,0.5,55,,,0.38,1.01,,Bidirectional
Red,L,60,75,0,55,STATION SOUTHHILLSJUNCTION,Left/Right,0.00,1.01,,Bidirectional
Red,M,61,75,-0.5,55,,,-0.38,0.63,,Bidirectional
Red,M,62,75,-1,55,,,-0.75,-0.12,,Bidirectional
Red,M,63,75,-1,55,,,-0.75,-0.87,,Bidirectional
Red,N,64,75,-0.5,55,,,-0.38,-1.24,,Bidirectional
Red,N,65,75,0,55,,,0.00,-1.24,,Bidirectional
Red,N,66,75,0,55,SWITCH ( 52 66 ),,0.00,-1.24,,Bidirectional
Red,O,67,50,0,55,SWITCH ( 43 67 );UNDERGROUND,,0.00,-1.24,,Bidirectional
Red,P,68,50,0,55,UNDERGROUND,,0.00,-1.24,,Bidirectional
Red,P,69,50,0,55,UNDERGROUND,,0.00,-1.24,,Bidirectional
Red,P,70,50,0,55,UNDERGROUND,,0.00,-1.24,,Bidirectional
Red,Q,71,50,0,55,UNDERGROUND,,0.00,-1.24,,Bidirectional
Red,R,72,50,0,55,SWITCH ( 32 72 );UNDERGROUND,,0.00,-1.24,,Bidirectional
Red,S,73,50,0,55,UNDERGROUND,,0.00,-1.24,,Bidirectional
Red,S,74,50,0,55,UNDERGROUND,,0.00,-1.24,,Bidirectional
Red,S,75,50,0,55,UNDERGROUND,,0.00,-1.24,,Bidirectional
Red,T,76,50,0,55,SWITCH (27 76 );UNDERGROUND,,0.00,-1.24,,Bidirectional
